Source,Target,Weight
Moreira J,Rosenberger FA,1
Mann M,Moreira J,1
Anderton H,Nordmann TM,1
Hasegawa A,Nordmann TM,1
Nordmann TM,Zhang P,1
Nordmann TM,Sinha A,1
Nordmann TM,Zwiebel M,2
Nordmann TM,Satoh TK,1
Anzengruber F,Nordmann TM,1
Nordmann TM,Tanzer MC,1
Nordmann TM,Saito Y,1
Gong T,Nordmann TM,1
Kimura H,Nordmann TM,1
Nordmann TM,Silke N,1
Nordmann TM,Rodriguez EH,1
Nordmann TM,Restivo G,1
Nguyen HH,Nordmann TM,1
Gross A,Nordmann TM,1
Feldmeyer L,Nordmann TM,1
Joerg L,Nordmann TM,1
Murray PJ,Nordmann TM,2
Ingen-Housz-Oro S,Nordmann TM,1
Abe R,Nordmann TM,1
Nordmann TM,Silke J,1
Ji C,Nordmann TM,2
French LE,Nordmann TM,1
Anderton H,Hasegawa A,1
Anderton H,Schweizer L,1
Anderton H,Zhang P,1
Anderton H,Stadler PC,1
Anderton H,Sinha A,1
Anderton H,Metousis A,1
Anderton H,Rosenberger FA,1
Anderton H,Zwiebel M,1
Anderton H,Satoh TK,1
Anderton H,Anzengruber F,1
Anderton H,Strauss MT,1
Anderton H,Tanzer MC,1
Anderton H,Saito Y,1
Anderton H,Gong T,1
Anderton H,Thielert M,1
Anderton H,Kimura H,1
Anderton H,Silke N,1
Anderton H,Rodriguez EH,1
Anderton H,Restivo G,1
Anderton H,Nguyen HH,1
Anderton H,Gross A,1
Anderton H,Feldmeyer L,1
Anderton H,Joerg L,1
Anderton H,Levesque MP,1
Anderton H,Murray PJ,1
Anderton H,Ingen-Housz-Oro S,1
Anderton H,Mund A,1
Abe R,Anderton H,1
Anderton H,Silke J,1
Anderton H,Ji C,2
Anderton H,French LE,1
Anderton H,Mann M,1
Hasegawa A,Schweizer L,1
Hasegawa A,Zhang P,1
Hasegawa A,Stadler PC,1
Hasegawa A,Sinha A,1
Hasegawa A,Metousis A,1
Hasegawa A,Rosenberger FA,1
Hasegawa A,Zwiebel M,1
Hasegawa A,Satoh TK,1
Anzengruber F,Hasegawa A,1
Hasegawa A,Strauss MT,1
Hasegawa A,Tanzer MC,1
Hasegawa A,Saito Y,1
Gong T,Hasegawa A,1
Hasegawa A,Thielert M,1
Hasegawa A,Kimura H,1
Hasegawa A,Silke N,1
Hasegawa A,Rodriguez EH,1
Hasegawa A,Restivo G,1
Hasegawa A,Nguyen HH,1
Gross A,Hasegawa A,1
Feldmeyer L,Hasegawa A,1
Hasegawa A,Joerg L,1
Hasegawa A,Levesque MP,1
Hasegawa A,Murray PJ,1
