Source,Target,Type
Strauss MT,37783884,Author-Paper
Schweizer L,37783884,Author-Paper
Ammar C,37783884,Author-Paper
Mädler SC,37783884,Author-Paper
Metousis A,37783884,Author-Paper
Skowronek P,37783884,Author-Paper
Wahle M,37783884,Author-Paper
Madden K,37783884,Author-Paper
Gote-Schniering J,37783884,Author-Paper
Semenova A,37783884,Author-Paper
Schiller HB,37783884,Author-Paper
Rodriguez E,37783884,Author-Paper
Nordmann TM,37783884,Author-Paper
Mund A,37783884,Author-Paper
Mann M,37783884,Author-Paper
Thielert M,37602975,Author-Paper
Itang EC,37602975,Author-Paper
Ammar C,37602975,Author-Paper
Rosenberger FA,37602975,Author-Paper
Bludau I,37602975,Author-Paper
Schweizer L,37602975,Author-Paper
Nordmann TM,37602975,Author-Paper
Skowronek P,37602975,Author-Paper
Wahle M,37602975,Author-Paper
Zeng WF,37602975,Author-Paper
Zhou XX,37602975,Author-Paper
Brunner AD,37602975,Author-Paper
Richter S,37602975,Author-Paper
Levesque MP,37602975,Author-Paper
Theis FJ,37602975,Author-Paper
Steger M,37602975,Author-Paper
Mann M,37602975,Author-Paper
Mund A,35590073,Author-Paper
Coscia F,35590073,Author-Paper
Kriston A,35590073,Author-Paper
Hollandi R,35590073,Author-Paper
Kovács F,35590073,Author-Paper
Brunner AD,35590073,Author-Paper
Migh E,35590073,Author-Paper
Schweizer L,35590073,Author-Paper
Santos A,35590073,Author-Paper
Bzorek M,35590073,Author-Paper
Naimy S,35590073,Author-Paper
Rahbek-Gjerdrum LM,35590073,Author-Paper
Dyring-Andersen B,35590073,Author-Paper
Bulkescher J,35590073,Author-Paper
Lukas C,35590073,Author-Paper
Eckert MA,35590073,Author-Paper
Lengyel E,35590073,Author-Paper
